Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Months,Sales,City,Time (Hour),Minutes,Grouped Products
176560,Wired Headphones,1,11.99,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",4,11.99, Los Angeles (CA),14,38,"Google Phone,Wired Headphones"
176574,USB-C Charging Cable,1,11.95,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",4,11.95, Los Angeles (CA),19,42,"Google Phone,USB-C Charging Cable"
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",4,99.99, Boston (MA),11,31,"Bose SoundSport Headphones,Bose SoundSport Headphones"
176586,Google Phone,1,600.0,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",4,600.0, San Francisco (CA),17,0,"AAA Batteries (4-pack),Google Phone"
176672,USB-C Charging Cable,1,11.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",4,11.95, New York City (NY),11,7,"Lightning Charging Cable,USB-C Charging Cable"
176681,ThinkPad Laptop,1,999.99,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",4,999.99, Seattle (WA),10,39,"Apple Airpods Headphones,ThinkPad Laptop"
176689,AAA Batteries (4-pack),2,2.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",4,5.98, New York City (NY),17,15,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
176739,Google Phone,1,600.0,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",4,600.0, Austin (TX),17,38,"34in Ultrawide Monitor,Google Phone"
176774,USB-C Charging Cable,1,11.95,2019-04-25 15:06:00,"372 Church St, Los Angeles, CA 90001",4,11.95, Los Angeles (CA),15,6,"Lightning Charging Cable,USB-C Charging Cable"
176781,Lightning Charging Cable,1,14.95,2019-04-03 07:37:00,"976 Hickory St, Dallas, TX 75001",4,14.95, Dallas (TX),7,37,"iPhone,Lightning Charging Cable"
176797,Bose SoundSport Headphones,1,99.99,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",4,99.99, Los Angeles (CA),8,54,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
176797,Wired Headphones,1,11.99,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",4,11.99, Los Angeles (CA),8,54,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
176805,USB-C Charging Cable,1,11.95,2019-04-01 15:50:00,"91 Lincoln St, Portland, OR 97035",4,11.95, Portland (OR),15,50,"Google Phone,USB-C Charging Cable"
176808,Wired Headphones,1,11.99,2019-04-28 18:03:00,"933 Meadow St, San Francisco, CA 94016",4,11.99, San Francisco (CA),18,3,"Google Phone,Wired Headphones"
176813,Wired Headphones,1,11.99,2019-04-28 18:01:00,"269 Hill St, Atlanta, GA 30301",4,11.99, Atlanta (GA),18,1,"Google Phone,Wired Headphones"
176935,27in FHD Monitor,1,149.99,2019-04-03 21:31:00,"315 1st St, Dallas, TX 75001",4,149.99, Dallas (TX),21,31,"AAA Batteries (4-pack),27in FHD Monitor"
176975,AAA Batteries (4-pack),1,2.99,2019-04-23 15:46:00,"28 13th St, San Francisco, CA 94016",4,2.99, San Francisco (CA),15,46,"USB-C Charging Cable,AAA Batteries (4-pack)"
176989,USB-C Charging Cable,1,11.95,2019-04-09 13:43:00,"346 9th St, Los Angeles, CA 90001",4,11.95, Los Angeles (CA),13,43,"Google Phone,USB-C Charging Cable"
176993,Wired Headphones,1,11.99,2019-04-07 09:43:00,"28 South St, Los Angeles, CA 90001",4,11.99, Los Angeles (CA),9,43,"iPhone,Wired Headphones"
177022,Wired Headphones,1,11.99,2019-04-17 18:14:00,"216 Chestnut St, Los Angeles, CA 90001",4,11.99, Los Angeles (CA),18,14,"iPhone,Wired Headphones"
177102,27in 4K Gaming Monitor,1,389.99,2019-04-24 05:19:00,"542 Center St, New York City, NY 10001",4,389.99, New York City (NY),5,19,"iPhone,27in 4K Gaming Monitor"
177115,Lightning Charging Cable,1,14.95,2019-04-19 19:10:00,"71 6th St, San Francisco, CA 94016",4,14.95, San Francisco (CA),19,10,"iPhone,Lightning Charging Cable"
177117,AAA Batteries (4-pack),1,2.99,2019-04-16 19:34:00,"564 Hill St, San Francisco, CA 94016",4,2.99, San Francisco (CA),19,34,"ThinkPad Laptop,AAA Batteries (4-pack)"
177167,Apple Airpods Headphones,1,150.0,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",4,150.0, Boston (MA),16,40,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
177167,AAA Batteries (4-pack),3,2.99,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",4,8.97, Boston (MA),16,40,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
